Year,Game,Genre,Earnings,Players,Tournaments
2016,Virtua Fighter 5 Final Showdown,Fighting Game,268.54,7,2
2019,Virtua Fighter 5 Final Showdown,Fighting Game,160,4,1
2014,Pro Evolution Soccer 2014,Sports,29410.25,4,1
2014,Halo 2 Anniversary,First-Person Shooter,90037.6,87,7
2015,Halo 2 Anniversary,First-Person Shooter,378667.45,212,13
2014,Under Night In-Birth EXE: Late,Fighting Game,320.0,21,6
2015,Under Night In-Birth EXE: Late,Fighting Game,1695.76,40,8
2016,Under Night In-Birth EXE: Late,Fighting Game,3050.0,26,7
2017,Under Night In-Birth EXE: Late,Fighting Game,960.0,7,2
2014,FIFA 15,Sports,14808.9,55,55
2015,FIFA 15,Sports,129565.09,314,297
2014,rFactor 2,Racing,3545.13,30,1
2015,rFactor 2,Racing,4135.99,34,1
2016,rFactor 2,Racing,4723.91,30,1
2017,rFactor 2,Racing,1004694.66,60,2
2018,rFactor 2,Racing,4965.26,31,3
2019,rFactor 2,Racing,89220.15,146,18
2014,Chess.com,Strategy,2999.99,18,3
2015,Chess.com,Strategy,20859.98,121,16
2016,Chess.com,Strategy,23859.98,141,22
2017,Chess.com,Strategy,22704.95,107,17
2018,Chess.com,Strategy,120424.01,116,14
2019,Chess.com,Strategy,99858.11,193,22
2014,Xonotic,First-Person Shooter,315.73,20,1
2016,Xonotic,First-Person Shooter,1283.15,82,3
2017,Xonotic,First-Person Shooter,249.81,36,3
2018,Xonotic,First-Person Shooter,277.75,57,3
2019,Xonotic,First-Person Shooter,22.82,20,2
2014,Super Smash Bros. for Wii U,Fighting Game,9521.65,73,17
2015,Super Smash Bros. for Wii U,Fighting Game,274699.63,1066,293
2016,Super Smash Bros. for Wii U,Fighting Game,429999.07,1267,283
2017,Super Smash Bros. for Wii U,Fighting Game,515416.43,1049,247
2018,Super Smash Bros. for Wii U,Fighting Game,276009.69,753,179
2019,Super Smash Bros. for Wii U,Fighting Game,5840,12,2
2014,Persona 4 Arena Ultimax,Fighting Game,0,8,1
2015,Persona 4 Arena Ultimax,Fighting Game,16528.16,50,10
2016,Persona 4 Arena Ultimax,Fighting Game,1250.0,12,4
2017,Persona 4 Arena Ultimax,Fighting Game,490.0,6,2
2019,Persona 4 Arena Ultimax,Fighting Game,560.0,6,2
2014,Call of Duty: Advanced Warfare,First-Person Shooter,126947.81,180,40
2015,Call of Duty: Advanced Warfare,First-Person Shooter,2481861.12,1844,364
2014,Guild Wars 2,Role-Playing Game,60075.36,74,19
2015,Guild Wars 2,Role-Playing Game,115930.14,61,34
2016,Guild Wars 2,Role-Playing Game,300000.0,142,4
2014,Heroes of the Storm,Multiplayer Online Battle Arena,14257.5,47,19
2015,Heroes of the Storm,Multiplayer Online Battle Arena,2470686.83,1970,286
2016,Heroes of the Storm,Multiplayer Online Battle Arena,4663149.1,1252,63
2017,Heroes of the Storm,Multiplayer Online Battle Arena,5444449.54,1119,41
2018,Heroes of the Storm,Multiplayer Online Battle Arena,5277279.76,964,34
2019,Heroes of the Storm,Multiplayer Online Battle Arena,301414.92,274,16
2014,Just Dance 2014,Sports,0,3,1
2015,Guilty Gear Xrd -SIGN-,Fighting Game,30335.66,106,28
2016,Guilty Gear Xrd -SIGN-,Fighting Game,7110.0,28,9
2015,Dead or Alive 5: Last Round,Fighting Game,3709.24,36,7
2016,Dead or Alive 5: Last Round,Fighting Game,1934.58,16,5
2017,Dead or Alive 5: Last Round,Fighting Game,2280.0,18,6
2018,Dead or Alive 5: Last Round,Fighting Game,240,3,1
2015,NHL 15,Sports,3157.16,3,3
2015,Evolve,First-Person Shooter,131509.05,209,33
2015,FIFA Online 3,Sports,20124,8,1
2016,FIFA Online 3,Sports,835082.4,42,3
2017,FIFA Online 3,Sports,342023.0,46,2
2018,FIFA Online 3,Sports,237112.5,36,1
2015,Mortal Kombat X,Fighting Game,232922.43,116,40
2016,Mortal Kombat X,Fighting Game,290129.99,63,21
2019,Mortal Kombat X,Fighting Game,480,3,1
2015,Battlefield Hardline,First-Person Shooter,13463.28,20,1
2015,Legend of Glory,Multiplayer Online Battle Arena,472.66,0,1
2015,Reflex,First-Person Shooter,1962.0,10,3
2016,Reflex,First-Person Shooter,32.74,1,1
2018,Reflex,First-Person Shooter,163.66,12,3
2015,Pro Evolution Soccer 2015,Sports,26544.76,3,1
2015,BlazBlue: Chronophantasma Extend,Fighting Game,944.21,15,5
2016,BlazBlue: Chronophantasma Extend,Fighting Game,3974.56,18,6
2015,Tekken 7,Fighting Game,97214.27,17,3
2016,Tekken 7,Fighting Game,78599.54,86,16
2017,Tekken 7,Fighting Game,325936.1,198,37
2018,Tekken 7,Fighting Game,339255.91,251,57
2019,Tekken 7,Fighting Game,765788.51,450,96
2015,Brawlhalla,Fighting Game,3710.0,82,13
2016,Brawlhalla,Fighting Game,78931.09,295,68
2017,Brawlhalla,Fighting Game,168167.7,386,60
2018,Brawlhalla,Fighting Game,293604.7,646,98
2019,Brawlhalla,Fighting Game,523239.0,710,125
2015,Vainglory,Multiplayer Online Battle Arena,193392.54,96,4
2016,Vainglory,Multiplayer Online Battle Arena,424628.65,268,21
2017,Vainglory,Multiplayer Online Battle Arena,179400.0,150,10
2015,Halo 5: Guardians,First-Person Shooter,28490.94,44,7
2016,Halo 5: Guardians,First-Person Shooter,3411240.03,402,36
2017,Halo 5: Guardians,First-Person Shooter,1748000.0,375,14
2018,Halo 5: Guardians,First-Person Shooter,1873750.0,274,18
2015,Rocket League,Sports,23976.56,164,79
2016,Rocket League,Sports,429727.73,811,307
2017,Rocket League,Sports,1506270.87,1215,343
2018,Rocket League,Sports,2345691.44,1016,130
2019,Rocket League,Sports,3040969.48,946,125
2015,Splatoon,First-Person Shooter,770.0,3,2
2016,Splatoon,First-Person Shooter,620,0,1
2015,H1Z1,Battle Royale,173328,20,2
2016,H1Z1,Battle Royale,267244,18,2
2017,H1Z1,Battle Royale,1251550.0,123,8
2018,H1Z1,Battle Royale,75000,20,1
2015,NHL '94,Sports,2691.2,16,2
2016,NHL '94,Sports,806.16,8,3
2017,NHL '94,Sports,321.2,7,3
2015,Grey Goo,Strategy,6000.0,12,3
2016,Grey Goo,Strategy,30400,16,2
2015,FIFA 16,Sports,22133.61,32,10
2016,FIFA 16,Sports,95694.5,80,18
2015,Shards of War,Multiplayer Online Battle Arena,1029.21,20,1
2015,Rising Thunder,Fighting Game,1000,3,1
2015,Tetris,Puzzle Game,1000,4,1
2016,Tetris,Puzzle Game,1500,2,1
2017,Tetris,Puzzle Game,1500,2,1
2018,Tetris,Puzzle Game,1500,2,1
2019,Tetris,Puzzle Game,10000,16,1
2015,Project Cars,Racing,2190.0,22,39
2016,Project Cars,Racing,33455.0,46,49
2017,Project Cars,Racing,32263.21,37,25
2015,Nitroplus Blasterz: Heroines Infinite Duel,Fighting Game,464,3,1
2016,Nitroplus Blasterz: Heroines Infinite Duel,Fighting Game,1380.0,6,2
2019,Nitroplus Blasterz: Heroines Infinite Duel,Fighting Game,150,3,1
2015,Dengeki Bunko: Fighting Climax,Fighting Game,60,3,1
2015,Blade & Soul,Role-Playing Game,103401.12,16,1
2016,Blade & Soul,Role-Playing Game,156182.4,28,2
2017,Blade & Soul,Role-Playing Game,149772,24,1
2015,Call of Duty: Black Ops III,First-Person Shooter,77597.45,166,23
2016,Call of Duty: Black Ops III,First-Person Shooter,3862185.84,993,55
2015,Overwatch,First-Person Shooter,3320.0,61,10
2016,Overwatch,First-Person Shooter,1996942.76,2347,261
2017,Overwatch,First-Person Shooter,3488230.1,3534,284
2018,Overwatch,First-Person Shooter,6615791.65,3105,120
2019,Overwatch,First-Person Shooter,9608186.77,2489,59
2015,Unreal Tournament (2016),First-Person Shooter,314.63,9,2
2016,Unreal Tournament (2016),First-Person Shooter,1071.42,18,3
2015,osu!,Strategy,5000,239,1
2016,osu!,Strategy,6220.0,414,2
2017,osu!,Strategy,7560.0,522,3
2018,osu!,Strategy,4320,255,1
2016,Gears of War: Ultimate Edition,Third-Person Shooter,170000.0,72,3
2016,Metal Gear Online,First-Person Shooter,8000.0,47,8
2016,Rainbow Six Siege,First-Person Shooter,295680.03,150,22
2017,Rainbow Six Siege,First-Person Shooter,863557.28,482,23
2018,Rainbow Six Siege,First-Person Shooter,2005274.27,1361,68
2019,Rainbow Six Siege,First-Person Shooter,5018249.86,2017,89
2016,Street Fighter V,Fighting Game,869956.88,254,61
2017,Street Fighter V,Fighting Game,1317769.55,358,58
2019,Street Fighter V,Fighting Game,15000,8,1
2016,Old School Runescape,Role-Playing Game,40000.0,4,4
2017,Old School Runescape,Role-Playing Game,122000.0,39,8
2018,Old School Runescape,Role-Playing Game,156500.0,24,5
2019,Old School Runescape,Role-Playing Game,97000.0,8,4
2016,Pokkén Tournament,Fighting Game,40381.66,42,10
2017,Pokkén Tournament,Fighting Game,36635.0,56,15
2016,Clash Royale,Strategy,228859.56,36,7
2017,Clash Royale,Strategy,876496.34,99,10
2018,Clash Royale,Strategy,986262.37,199,19
2019,Clash Royale,Strategy,1047130.0,175,10
2016,Naruto Shippuden: Ultimate Ninja Storm 4,Fighting Game,2000.0,0,2
2019,Naruto Shippuden: Ultimate Ninja Storm 4,Fighting Game,2550.0,8,3
2016,Trackmania Turbo,Racing,566.91,3,1
2016,Rivals of Aether,Fighting Game,500.0,2,2
2017,Rivals of Aether,Fighting Game,14100.0,14,3
2019,Rivals of Aether,Fighting Game,3435.0,18,5
2016,Guilty Gear Xrd -REVELATOR-,Fighting Game,28899.49,64,11
2017,Guilty Gear Xrd -REVELATOR-,Fighting Game,7537.94,31,8
2016,Pro Evolution Soccer 2016,Sports,27243.84,18,6
2016,Vampire Savior,Fighting Game,918.74,9,3
2017,Vampire Savior,Fighting Game,1830.0,14,3
2018,Vampire Savior,Fighting Game,2170.0,17,4
2019,Vampire Savior,Fighting Game,2600.0,17,4
2016,King of Fighters 2002 Unlimited Match,Fighting Game,380,3,1
2016,Dengeki Bunko: Fighting Climax Ignition,Fighting Game,662.3,11,2
2017,Dengeki Bunko: Fighting Climax Ignition,Fighting Game,390.0,6,2
2018,Dengeki Bunko: Fighting Climax Ignition,Fighting Game,300,8,1
2019,Dengeki Bunko: Fighting Climax Ignition,Fighting Game,1315.0,14,3
2016,Paladins,First-Person Shooter,104000.0,26,2
2017,Paladins,First-Person Shooter,407826.63,527,28
2018,Paladins,First-Person Shooter,899100.0,623,22
2019,Paladins,First-Person Shooter,550000.0,155,6
2016,Madden NFL 2016,Sports,50000,8,1
2016,Mortal Kombat XL,Fighting Game,100941.39,35,7
2017,Mortal Kombat XL,Fighting Game,24002.4,30,7
2018,Mortal Kombat XL,Fighting Game,4120.0,11,2
2019,Mortal Kombat XL,Fighting Game,140,2,1
2016,Uncharted 4: A Thief's End,First-Person Shooter,46235.07,5,1
2016,King of Fighters XIV,Fighting Game,5318.49,21,4
2017,King of Fighters XIV,Fighting Game,23568.67,67,15
2018,King of Fighters XIV,Fighting Game,10469.23,23,6
2019,King of Fighters XIV,Fighting Game,32275.7,42,9
2016,Battlerite,Multiplayer Online Battle Arena,12881.74,85,38
2017,Battlerite,Multiplayer Online Battle Arena,23541.71,107,35
2018,Battlerite,Multiplayer Online Battle Arena,28750.0,33,2
2016,Gears of War 4,Third-Person Shooter,501285.0,150,16
2017,Gears of War 4,Third-Person Shooter,1064000.0,316,16
2018,Gears of War 4,Third-Person Shooter,1022000.0,234,7
2019,Gears of War 4,Third-Person Shooter,500000.0,75,2
2016,FIFA 17,Sports,30305.99,41,4
2017,FIFA 17,Sports,1452306.64,189,44
2016,BlazBlue: Central Fiction,Fighting Game,2836.51,11,2
2017,BlazBlue: Central Fiction,Fighting Game,27870.0,73,15
2018,BlazBlue: Central Fiction,Fighting Game,7523.06,45,8
2019,BlazBlue: Central Fiction,Fighting Game,39752.85,50,8
2016,Pro Evolution Soccer 2017,Sports,4697.71,34,11
2017,Pro Evolution Soccer 2017,Sports,510000.0,19,5
2016,Skullgirls 2nd Encore,Fighting Game,1700,8,1
2017,Skullgirls 2nd Encore,Fighting Game,5780.0,24,3
2018,Skullgirls 2nd Encore,Fighting Game,2801.0,14,3
2019,Skullgirls 2nd Encore,Fighting Game,6110.0,14,3
2016,Melty Blood: Actress Again Current Code,Fighting Game,700,8,1
2017,Melty Blood: Actress Again Current Code,Fighting Game,810.0,11,2
2018,Melty Blood: Actress Again Current Code,Fighting Game,1430.0,14,3
2019,Melty Blood: Actress Again Current Code,Fighting Game,2475.0,22,4
2016,Catherine,Puzzle Game,270,3,1
2017,Catherine,Puzzle Game,570.0,6,2
2018,Catherine,Puzzle Game,450.0,6,2
2019,Catherine,Puzzle Game,180,3,1
2016,Koihime Enbu,Fighting Game,250,3,1
2017,Koihime Enbu,Fighting Game,190,3,1
2018,Koihime Enbu,Fighting Game,590,3,1
2019,Koihime Enbu,Fighting Game,585.0,6,2
2016,Arcana Heart 3: LOVE MAX!!!!!,Fighting Game,210,3,1
2017,Arcana Heart 3: LOVE MAX!!!!!,Fighting Game,200,3,1
2016,Aquapazza: Aquaplus Dream Match,Fighting Game,160,3,1
2019,Aquapazza: Aquaplus Dream Match,Fighting Game,85,3,1
2016,Forza Motorsport 6,Racing,39850.0,46,7
2017,Forza Motorsport 6,Racing,26500.0,13,2
2016,MechWarrior Online,First-Person Shooter,143490,0,1
2016,Call of Duty: Infinite Warfare,First-Person Shooter,125020.99,56,4
2017,Call of Duty: Infinite Warfare,First-Person Shooter,4031184.07,905,76
2016,Madden NFL 2017,Sports,1.00E+05,16,1
2017,Madden NFL 2017,Sports,904000.0,66,4
2016,MOBA Legends,Multiplayer Online Battle Arena,225,3,1
2017,Mad Skills Motocross 2,Racing,20163,12,1
2017,ComPet,Strategy,2000,50,1
2017,Mystery Game Tournament,Fighting Game,2480.0,16,2
2018,Mystery Game Tournament,Fighting Game,2560.0,16,2
2019,Mystery Game Tournament,Fighting Game,4035.0,27,3
2017,Tetris Ultimate,Puzzle Game,221,3,1
2017,Critical Ops,First-Person Shooter,10106.41,4,2
2018,Critical Ops,First-Person Shooter,2500,0,1
2017,Yu-Gi-Oh! Duel Links,Collectible Card Game,13354.44,173,85
2018,Yu-Gi-Oh! Duel Links,Collectible Card Game,35372.28,379,133
2019,Yu-Gi-Oh! Duel Links,Collectible Card Game,20,1,1
2017,Gwent,Collectible Card Game,302988.98,363,91
2018,Gwent,Collectible Card Game,441568.19,98,15
2019,Gwent,Collectible Card Game,25000,8,1
2017,Injustice 2,Fighting Game,673484.6,105,20
2018,Injustice 2,Fighting Game,160648.23,79,13
2019,Injustice 2,Fighting Game,1610.0,12,4
2017,Guilty Gear Xrd REV 2,Fighting Game,29180.0,49,10
2018,Guilty Gear Xrd REV 2,Fighting Game,22557.64,69,13
2019,Guilty Gear Xrd REV 2,Fighting Game,60443.06,104,22
2017,Quake Champions,First-Person Shooter,1482852.31,296,72
2018,Quake Champions,First-Person Shooter,651250.4,423,154
2019,Quake Champions,First-Person Shooter,72186.51,46,6
2017,Heavy Metal Machines,Multiplayer Online Battle Arena,12339.33,35,1
2017,Hand of the Gods,Collectible Card Game,44400.0,76,34
2018,Hand of the Gods,Collectible Card Game,50000,13,1
2019,Hand of the Gods,Collectible Card Game,34.2,1,1
2017,Company of Heroes 2,Strategy,3556.22,8,1
2018,Company of Heroes 2,Strategy,4400,8,1
2019,Company of Heroes 2,Strategy,605.0,3,4
2017,ARMS,Fighting Game,3257.1,36,13
2018,ARMS,Fighting Game,13297.14,159,56
2019,ARMS,Fighting Game,1643.85,39,12
2017,PLAYERUNKNOWN’S BATTLEGROUNDS,Battle Royale,1007803.6,215,14
2018,PLAYERUNKNOWN’S BATTLEGROUNDS,Battle Royale,8319226.32,3008,123
2019,PLAYERUNKNOWN’S BATTLEGROUNDS,Battle Royale,11267221.08,2834,112
2017,Pokémon VGC,Strategy,113000.0,94,9
2018,Pokémon VGC,Strategy,98500.0,136,15
2017,Doom (2016),First-Person Shooter,7000,6,1
2017,Rage,First-Person Shooter,5000,3,1
2017,The Elder Scrolls: Legends,Collectible Card Game,5000,3,1
2017,Under Night In-Birth EXE: Late[st],Fighting Game,3790.0,27,7
2018,Under Night In-Birth EXE: Late[st],Fighting Game,7876.27,45,8
2019,Under Night In-Birth EXE: Late[st],Fighting Game,32430.17,95,17
2017,Splatoon 2,First-Person Shooter,3425.0,0,3
2018,Splatoon 2,First-Person Shooter,5360.0,0,3
2017,Marvel vs. Capcom: Infinite,Fighting Game,34120.0,20,5
2018,Marvel vs. Capcom: Infinite,Fighting Game,5952.12,42,9
2019,Marvel vs. Capcom: Infinite,Fighting Game,1920.0,16,4
2017,Pokkén Tournament DX,Fighting Game,6249.0,20,5
2018,Pokkén Tournament DX,Fighting Game,3181.4,22,8
2019,Pokkén Tournament DX,Fighting Game,7908.57,32,9
2017,Gundam Versus,First-Person Shooter,280,6,1
2017,Puyo Puyo Tetris,Puzzle Game,240,3,1
2018,Puyo Puyo Tetris,Puzzle Game,466.67,6,2
2019,Puyo Puyo Tetris,Puzzle Game,911.08,14,4
2017,Chaos Code: New Sign of Catastrophe,Fighting Game,140,3,1
2017,Clash of Clans,Strategy,1576.87,2,1
2019,Clash of Clans,Strategy,764970.0,93,5
2017,Windjammers,Strategy,200.0,6,2
2018,Windjammers,Strategy,665.41,10,3
2019,Windjammers,Strategy,2266.75,15,3
2017,Arena of Valor,Multiplayer Online Battle Arena,716852.0,122,7
2018,Arena of Valor,Multiplayer Online Battle Arena,5190956.76,460,21
2019,Arena of Valor,Multiplayer Online Battle Arena,7821265.46,421,19
2017,Call of Duty: World War II,First-Person Shooter,271354.31,100,23
2018,Call of Duty: World War II,First-Person Shooter,4287916.69,542,41
2017,World of Tanks Blitz,Strategy,30000,14,1
2018,World of Tanks Blitz,Strategy,33330.0,0,5
2017,FIFA 18,Sports,44545.55,31,8
2018,FIFA 18,Sports,2189152.14,367,39
2017,Madden NFL 2018,Sports,20676.62,9,2
2018,Madden NFL 2018,Sports,259000,32,1
2017,Shadowverse,Collectible Card Game,120000,24,1
2018,Shadowverse,Collectible Card Game,1310000,24,1
2019,Shadowverse,Collectible Card Game,1761477.09,296,35
2017,Power Rangers: Legacy Wars,Fighting Game,4178.55,2,1
2017,Lichess,Strategy,1100,8,2
2018,Lichess,Strategy,15325.0,46,10
2019,Lichess,Strategy,13600.0,85,23
2018,Street Fighter V: Arcade Edition,Fighting Game,1155685.67,315,49
2019,Street Fighter V: Arcade Edition,Fighting Game,841164.16,284,48
2018,Arcana Heart 3: Love Max Six Stars!!!!!,Fighting Game,410.0,6,2
2019,Arcana Heart 3: Love Max Six Stars!!!!!,Fighting Game,110,3,1
2018,Fortnite,Battle Royale,19880337.0,2345,176
2019,Fortnite,Battle Royale,71310029.0,6818,389
2018,NHL 18,Sports,102700.0,28,6
2018,Faeria,Collectible Card Game,4100.0,15,5
2018,Dragon Ball FighterZ,Fighting Game,132741.37,142,30
2019,Dragon Ball FighterZ,Fighting Game,123187.27,203,40
2018,Warsow,First-Person Shooter,183,2,1
2018,Zula,First-Person Shooter,1.00E+05,20,1
2018,Project Cars 2,Racing,33750.0,12,2
2019,Project Cars 2,Racing,32400.0,54,20
2018,Battalion 1944,First-Person Shooter,78576.62,70,7
2019,Battalion 1944,First-Person Shooter,107078.05,114,14
2018,Radical Heights,Battle Royale,120000,12,2
2018,NBA 2K18,Sports,1000000.0,180,4
2018,RaceRoom Racing Experience,Racing,27768.7,91,5
2019,RaceRoom Racing Experience,Racing,53160.0,76,8
2018,Sailor Moon S,Fighting Game,1646.06,14,4
2019,Sailor Moon S,Fighting Game,1235.13,14,5
2018,Garou: Mark of the Wolves,Fighting Game,108.71,4,1
2019,Garou: Mark of the Wolves,Fighting Game,225,3,1
2018,Samurai Shodown V Special,Fighting Game,108.71,4,1
2019,Samurai Shodown V Special,Fighting Game,251.4,6,2
2018,Forza Motorsport 7,Racing,255000.0,53,4
2019,Forza Motorsport 7,Racing,346200.0,77,5
2018,Warface,First-Person Shooter,109555.0,35,2
2018,Pro Evolution Soccer 2018,Sports,250000.0,21,3
2018,Realm Royale,First-Person Shooter,263000.0,57,9
2018,Guns of Boom,First-Person Shooter,133950.0,16,11
2019,Guns of Boom,First-Person Shooter,64800.0,16,7
2018,BlazBlue: Cross Tag Battle,Fighting Game,19143.33,39,8
2019,BlazBlue: Cross Tag Battle,Fighting Game,62136.7,120,22
2018,Gran Turismo Sport,Racing,10080,10,1
2019,Gran Turismo Sport,Racing,14100.0,19,3
2018,Fighting EX Layer,Fighting Game,1260.0,11,4
2019,Fighting EX Layer,Fighting Game,372.96,6,2
2018,Soul Calibur VI,Fighting Game,9891.0,24,6
2019,Soul Calibur VI,Fighting Game,83854.21,135,29
2018,SNK Heroines: Tag Team Frenzy,Fighting Game,430,3,1
2018,Call of Duty: Black Ops 4,First-Person Shooter,321249.95,186,36
2019,Call of Duty: Black Ops 4,First-Person Shooter,6383189.0,819,31
2018,Call of Duty: Blackout,First-Person Shooter,315000.0,41,6
2019,Call of Duty: Blackout,First-Person Shooter,296608.35,203,12
2018,PLAYERUNKNOWN’S BATTLEGROUNDS Mobile,Battle Royale,617069.08,140,6
2019,PLAYERUNKNOWN’S BATTLEGROUNDS Mobile,Battle Royale,3031637.99,1248,23
2018,FIFA 19,Sports,551731.35,149,19
2019,FIFA 19,Sports,2690910.99,502,29
2018,Assetto Corsa,Racing,15000,8,1
2019,Assetto Corsa,Racing,110003.3,66,21
2018,NHL 19,Sports,2866.67,5,2
2019,NHL 19,Sports,19700.0,8,6
2018,Black Squad,First-Person Shooter,4470.29,81,15
2019,Black Squad,First-Person Shooter,4010.43,20,2
2018,Street Fighter EX2 Plus,Fighting Game,160,3,1
2019,Street Fighter EX2 Plus,Fighting Game,190,3,1
2018,Artifact,Collectible Card Game,48666.35,95,29
2019,Artifact,Collectible Card Game,69272.34,295,117
2018,FIFA Online 4,Sports,240000,37,1
2019,FIFA Online 4,Sports,437000.0,72,2
2018,F1 2018,Racing,2.00E+05,21,1
2018,Creative Destruction,Multiplayer Online Battle Arena,1.00E+05,8,1
2018,Super Smash Bros. Ultimate,Fighting Game,74587.45,271,63
2019,Super Smash Bros. Ultimate,Fighting Game,1042387.83,3595,961
2018,Madden NFL 19,Sports,25000,1,1
2019,Madden NFL 19,Sports,100000.0,5,2
2018,Magic: The Gathering Arena,Collectible Card Game,10000,16,1
2019,Magic: The Gathering Arena,Collectible Card Game,4402000.0,449,33
2018,Minecraft,Multiplayer Online Battle Arena,4839.15,10,3
2019,Minecraft,Multiplayer Online Battle Arena,80000.0,15,8
2018,Mario Kart 8 Deluxe,Racing,220,4,1
2019,Mario Kart 8 Deluxe,Racing,229.44,3,1
2018,Super Mario Party,Strategy,220,4,1
2018,Lethal League Blaze,Fighting Game,11.4,1,1
2019,Lethal League Blaze,Fighting Game,1861.5,18,5
2019,Mario Tennis Aces,Sports,51.3,3,1
2019,Apex Legends,Battle Royale,2861382.64,1168,80
2019,Stardew Valley,Role-Playing Game,54250.0,68,2
2019,Dead or Alive 6,Fighting Game,72006.54,95,17
2019,Auto Chess,Strategy,1076322.28,81,6
2019,The Division 2,Third-Person Shooter,27250,40,2
2019,Free Fire,Battle Royale,707613.12,184,9
2019,Sekiro: Shadows Die Twice,Fighting Game,19596,20,1
2019,Mortal Kombat 11,Fighting Game,291622.33,254,35
2019,Multigaming,Strategy,148384.33,24,3
2019,Splitgate: Arena Warfare,Multiplayer Online Battle Arena,50000,64,2
2019,Puyo Puyo Champions,Puzzle Game,2071.8,10,3
2019,Warparty,Strategy,1000,4,1
2019,King of Fighters 98,Fighting Game,7945.57,7,3
2019,Teenage Mutant Ninja Turtles: Tournament Fighters,Fighting Game,820.0,7,2
2019,Pro Evolution Soccer 2019,Sports,216000,25,2
2019,Brawl Stars,Strategy,38700.0,46,9
2019,Mordhau,Fighting Game,16623.0,40,3
2019,Samurai Shodown (2019),Fighting Game,64149.91,63,13
2019,Dota Underlords,Strategy,22635.68,67,29
2019,Teamfight Tactics,Strategy,449284.65,162,11
2019,Power Rangers: Battle for the Grid,Fighting Game,1050.0,6,2
2019,Ring of Elysium,Battle Royale,70000.0,21,4
2019,Gears 5,Third-Person Shooter,560000.0,132,6
2019,Farming Simulator 19,Strategy,106133.1,153,8
2019,Asphalt 9: Legends,Racing,51520.0,7,2
2019,Million Arthur: Arcana Blood,Fighting Game,7420.0,6,2
2019,FIFA 20,Sports,476372.64,148,21
2019,Kill la Kill the Game: IF,Fighting Game,700.0,6,2
2019,Ultra Fight Da! Kyanta 2,Fighting Game,320,3,1
2019,Fighter's History Dynamite,Fighting Game,195,3,1
2019,Catherine: Full Body,Puzzle Game,185,3,1
2019,Project Justice,Fighting Game,165,3,1
2019,Hokuto no Ken,Fighting Game,145,3,1
2019,Umineko: Golden Fantasia,Fighting Game,90,3,1
2019,Guilty Gear,Fighting Game,32,3,1
2019,Borderlands 3,First-Person Shooter,50000,16,1
2019,Acceleration of SUGURI 2,Fighting Game,210,3,1
2019,Them's Fightin' Herds,Fighting Game,190,3,1
2019,Big Buck Hunter Arcade,First-Person Shooter,76200,3,1
2019,WWE 2K20,Fighting Game,50000,20,2
2019,Dead By Daylight,Strategy,15000,15,3
2019,Call of Duty: Modern Warfare,First-Person Shooter,348612.5,88,10
2019,F1 2019,Racing,5.00E+05,22,1
2019,TEPPEN,Strategy,456721.47,12,1
2019,GRID (2019),Racing,218.75,3,1
2019,Shovel Knight Showdown,Fighting Game,60,3,1
